symbol,trade_direction,trades,wins,losses,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_move,is_original_119,candidate_type,passes_filter,score
BF.B,SHORT,1,1,0,1.0,0.1018803418803419,0.1018803418803419,0.1018803418803419,0.1018803418803419,0.1018803418803419,-0.0204607226812933,0.0061919504643963,False,NEW_CANDIDATE,False,0.1018803418803419
GLW,SHORT,1,1,0,1.0,0.0545709773644499,0.0545709773644499,0.0545709773644499,0.0545709773644499,0.0545709773644499,-0.0571516356242972,0.0479955866127252,False,NEW_CANDIDATE,False,0.0545709773644499
PSKY,SHORT,1,1,0,1.0,0.0508885298869144,0.0508885298869144,0.0508885298869144,0.0508885298869144,0.0508885298869144,-0.0961528258400662,0.0222956234516928,False,NEW_CANDIDATE,False,0.0508885298869144
TEL,SHORT,1,1,0,1.0,0.0455699070926807,0.0455699070926807,0.0455699070926807,0.0455699070926807,0.0455699070926807,-0.0649628989793821,0.0333926564256275,False,NEW_CANDIDATE,False,0.0455699070926807
RDDT,LONG,1,1,0,1.0,0.0449800925427739,0.0449800925427739,0.0449800925427739,0.0449800925427739,0.0449800925427739,0.0261198953575705,-0.0209650231774124,False,NEW_CANDIDATE,False,0.0449800925427739
ARES,LONG,1,1,0,1.0,0.0444135373203524,0.0444135373203524,0.0444135373203524,0.0444135373203524,0.0444135373203524,0.0280350445050987,-0.0068146238143476,False,NEW_CANDIDATE,False,0.0444135373203524
UAL,LONG,1,1,0,1.0,0.0427220018309428,0.0427220018309428,0.0427220018309428,0.0427220018309428,0.0427220018309428,0.0234045053364884,-0.0093213080062477,False,NEW_CANDIDATE,False,0.0427220018309428
WDAY,LONG,1,1,0,1.0,0.0419397116644824,0.0419397116644824,0.0419397116644824,0.0419397116644824,0.0419397116644824,0.0934916538518362,-0.0167525773195875,False,NEW_CANDIDATE,False,0.0419397116644824
MAS,SHORT,1,1,0,1.0,0.0412567904859786,0.0412567904859786,0.0412567904859786,0.0412567904859786,0.0412567904859786,-0.0475134909240143,0.0067252974650802,False,NEW_CANDIDATE,False,0.0412567904859786
IFF,SHORT,1,1,0,1.0,0.0412135088723525,0.0412135088723525,0.0412135088723525,0.0412135088723525,0.0412135088723525,-0.0503007731813421,0.0091784338896019,False,NEW_CANDIDATE,False,0.0412135088723525
PAYX,LONG,1,1,0,1.0,0.0395136778115501,0.0395136778115501,0.0395136778115501,0.0395136778115501,0.0395136778115501,0.0598972904954147,-0.0089349535382415,False,NEW_CANDIDATE,False,0.0395136778115501
BBY,LONG,1,1,0,1.0,0.0381322957198444,0.0381322957198444,0.0381322957198444,0.0381322957198444,0.0381322957198444,0.0333658660775317,-0.0163808940600121,False,NEW_CANDIDATE,False,0.0381322957198444
KLAC,SHORT,1,1,0,1.0,0.0358080576200177,0.0358080576200177,0.0358080576200177,0.0358080576200177,0.0358080576200177,-0.035027254104638,0.0140656542693462,False,NEW_CANDIDATE,False,0.0358080576200177
MCHP,SHORT,1,1,0,1.0,0.0353309163289969,0.0353309163289969,0.0353309163289969,0.0353309163289969,0.0353309163289969,-0.0398403255728713,0.0193478260869564,False,NEW_CANDIDATE,False,0.0353309163289969
TRMB,LONG,1,1,0,1.0,0.0353134819691756,0.0353134819691756,0.0353134819691756,0.0353134819691756,0.0353134819691756,0.0222919544852,-0.0139431943932128,False,NEW_CANDIDATE,False,0.0353134819691756
NCLH,SHORT,1,1,0,1.0,0.0339335180055401,0.0339335180055401,0.0339335180055401,0.0339335180055401,0.0339335180055401,-0.0470040733603562,0.0358680057388809,False,NEW_CANDIDATE,False,0.0339335180055401
ECHO,SHORT,1,1,0,1.0,0.0339175167843752,0.0339175167843752,0.0339175167843752,0.0339175167843752,0.0339175167843752,-0.0221546181438644,0.0061408895517149,False,NEW_CANDIDATE,False,0.0339175167843752
CIEN,SHORT,1,1,0,1.0,0.0326285479226656,0.0326285479226656,0.0326285479226656,0.0326285479226656,0.0326285479226656,-0.0350854924292826,0.0356668143553389,False,NEW_CANDIDATE,False,0.0326285479226656
VRSN,LONG,1,1,0,1.0,0.0314680878061159,0.0314680878061159,0.0314680878061159,0.0314680878061159,0.0314680878061159,0.0520912221062184,-0.0129832178341821,False,NEW_CANDIDATE,False,0.0314680878061159
FDS,LONG,1,1,0,1.0,0.031384529926399,0.031384529926399,0.031384529926399,0.031384529926399,0.031384529926399,0.0214393860631312,-0.0064160055191445,False,NEW_CANDIDATE,False,0.031384529926399
STZ,SHORT,1,1,0,1.0,0.0308901901440885,0.0308901901440885,0.0308901901440885,0.0308901901440885,0.0308901901440885,-0.0443827553301887,0.012794029452922,False,NEW_CANDIDATE,False,0.0308901901440885
