scenario,symbol,trade_direction,trades,win_rate,avg_return,median_return,best_trade,worst_trade,avg_pnl_per_contract
100_SAME_0_NEXT,MA,LONG,2,0.5,-0.0390677782558739,-0.0390677782558739,0.1583398898505112,-0.236475446362259,-49.187500000000036
100_SAME_0_NEXT,MAR,LONG,1,1.0,0.0267131242740998,0.0267131242740998,0.0267131242740998,0.0267131242740998,17.250000000000032
100_SAME_0_NEXT,MCD,SHORT,1,0.0,-0.0781996479758612,-0.0781996479758612,-0.0781996479758612,-0.0781996479758612,-23.325
100_SAME_0_NEXT,META,LONG,1,0.0,-0.0005853658536584,-0.0005853658536584,-0.0005853658536584,-0.0005853658536584,-0.6749999999998479
100_SAME_0_NEXT,MGM,LONG,1,0.0,-0.0487804878048779,-0.0487804878048779,-0.0487804878048779,-0.0487804878048779,-4.899999999999993
100_SAME_0_NEXT,MRVL,SHORT,1,0.0,-0.2906159570070277,-0.2906159570070277,-0.2906159570070277,-0.2906159570070277,-87.87500000000001
100_SAME_0_NEXT,MS,LONG,1,0.0,-0.12538877066623,-0.12538877066623,-0.12538877066623,-0.12538877066623,-38.29999999999996
100_SAME_0_NEXT,NCLH,SHORT,1,1.0,0.185125949620152,0.185125949620152,0.185125949620152,0.185125949620152,11.575000000000005
100_SAME_0_NEXT,NFLX,LONG,1,0.0,-0.1085714285714283,-0.1085714285714283,-0.1085714285714283,-0.1085714285714283,-19.47499999999995
100_SAME_0_NEXT,NRG,SHORT,1,1.0,0.0500475134621476,0.0500475134621476,0.0500475134621476,0.0500475134621476,19.74999999999998
100_SAME_0_NEXT,OXY,SHORT,3,0.3333333333333333,0.017470806768839033,-0.0361815538685188,0.3568866571018652,-0.2682926829268293,0.41666666666666546
100_SAME_0_NEXT,PCG,SHORT,1,0.0,-0.3163109756097558,-0.3163109756097558,-0.3163109756097558,-0.3163109756097558,-10.37499999999999
100_SAME_0_NEXT,PM,SHORT,1,0.0,-0.1280487804878048,-0.1280487804878048,-0.1280487804878048,-0.1280487804878048,-23.625000000000007
100_SAME_0_NEXT,PYPL,LONG,1,0.0,-0.1616370400992144,-0.1616370400992144,-0.1616370400992144,-0.1616370400992144,-19.54999999999998
100_SAME_0_NEXT,RCL,LONG,1,0.0,-0.4712567289160629,-0.4712567289160629,-0.4712567289160629,-0.4712567289160629,-354.54999999999995
100_SAME_0_NEXT,RDDT,LONG,1,0.0,-0.0336817653890824,-0.0336817653890824,-0.0336817653890824,-0.0336817653890824,-21.749999999999936
100_SAME_0_NEXT,SBUX,LONG,1,1.0,1.12524719841793,1.12524719841793,1.12524719841793,1.12524719841793,128.025
100_SAME_0_NEXT,STX,SHORT,2,0.5,0.024819349857459747,0.024819349857459747,0.1206554878048782,-0.0710167880899587,28.875000000000213
100_SAME_0_NEXT,STZ,SHORT,1,1.0,0.7597560975609756,0.7597560975609756,0.7597560975609756,0.7597560975609756,155.75
100_SAME_0_NEXT,T,LONG,1,1.0,0.3045296167247389,0.3045296167247389,0.3045296167247389,0.3045296167247389,10.925000000000008
100_SAME_0_NEXT,TER,LONG,1,0.0,-0.1680275715800635,-0.1680275715800635,-0.1680275715800635,-0.1680275715800635,-237.67499999999995
100_SAME_0_NEXT,TGT,LONG,1,0.0,-0.5356758991318727,-0.5356758991318727,-0.5356758991318727,-0.5356758991318727,-161.97500000000002
100_SAME_0_NEXT,TMO,LONG,1,0.0,-0.3741976893453144,-0.3741976893453144,-0.3741976893453144,-0.3741976893453144,-291.4999999999999
100_SAME_0_NEXT,TPR,LONG,1,0.0,-0.2375721467138336,-0.2375721467138336,-0.2375721467138336,-0.2375721467138336,-63.80000000000003
100_SAME_0_NEXT,TSLA,LONG,1,1.0,0.0167020148462355,0.0167020148462355,0.0167020148462355,0.0167020148462355,14.175000000000182
100_SAME_0_NEXT,TTD,LONG,1,1.0,0.494773519163763,0.494773519163763,0.494773519163763,0.494773519163763,53.25
100_SAME_0_NEXT,TTWO,LONG,2,0.5,0.082145793368046,0.082145793368046,0.1890243902439023,-0.0247328035078103,26.487499999999997
100_SAME_0_NEXT,TXN,SHORT,1,1.0,0.7572528883183567,0.7572528883183567,0.7572528883183567,0.7572528883183567,294.94999999999993
100_SAME_0_NEXT,UAL,LONG,1,0.0,-0.5491219512195122,-0.5491219512195122,-0.5491219512195122,-0.5491219512195122,-281.425
100_SAME_0_NEXT,UBER,LONG,1,1.0,0.1831088460138334,0.1831088460138334,0.1831088460138334,0.1831088460138334,37.72500000000005
100_SAME_0_NEXT,URI,LONG,1,0.0,-0.0261324041811846,-0.0261324041811846,-0.0261324041811846,-0.0261324041811846,-44.99999999999993
100_SAME_0_NEXT,VRT,LONG,1,0.0,-0.2287409360580092,-0.2287409360580092,-0.2287409360580092,-0.2287409360580092,-347.00000000000006
100_SAME_0_NEXT,VST,SHORT,1,0.0,-0.1993459599400464,-0.1993459599400464,-0.1993459599400464,-0.1993459599400464,-109.72500000000008
100_SAME_0_NEXT,WDAY,LONG,2,0.5,0.23639973617466895,0.23639973617466895,0.5327707779447466,-0.0599713055954087,102.16250000000008
100_SAME_0_NEXT,WFC,LONG,3,1.0,0.2946044663910556,0.3781873614190685,0.4849354375896699,0.0206906001644284,60.616666666666646
100_SAME_0_NEXT,WYNN,LONG,1,0.0,-0.2479528044377915,-0.2479528044377915,-0.2479528044377915,-0.2479528044377915,-70.39999999999998
100_SAME_0_NEXT,XYZ,LONG,2,1.0,0.23594018994901186,0.23594018994901186,0.3840495547812621,0.0878308251167616,45.662499999999994
25_SAME_75_NEXT,ABNB,LONG,1,0.0,-0.0665935872841874,-0.0665935872841874,-0.0665935872841874,-0.0665935872841874,-18.22499999999998
25_SAME_75_NEXT,ADSK,LONG,1,1.0,0.0593126385809312,0.0593126385809312,0.0593126385809312,0.0593126385809312,26.750000000000007
