threshold,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return,entry_price,exit_price,trade_return
0.005,2026-03-06,CSGP,LONG,LONG,0.09835707305470542,-0.010526315789473828,47.94,48.4,0.009595327492699202
0.005,2026-03-06,CTSH,LONG,LONG,0.03332475493539433,-0.011635918242363763,64.555,66.275,0.0266439470219193
0.005,2026-03-06,CVNA,LONG,LONG,0.03145352892506326,-0.02249945690966082,314.98,317.695,0.008619594894913929
0.005,2026-03-06,DOW,LONG,LONG,0.03441532483230736,-0.05419281232173434,33.16,33.27,0.0033172496984319455
0.005,2026-03-06,EBAY,LONG,LONG,0.049416729086755984,-0.012216216216216158,91.37,92.735,0.014939257962131913
0.005,2026-03-06,ESS,LONG,LONG,0.03503746031431887,-0.010398273494212296,252.2,255.14,0.011657414750198214
0.005,2026-03-06,FICO,LONG,LONG,0.04469574925883468,-0.01203855619360128,1445.19,1475.3,0.020834630740594662
0.005,2026-03-06,FISV,LONG,LONG,0.058739545645962954,-0.020907862310199588,61.58,63.07,0.024196167586878925
0.005,2026-03-06,FLEX,LONG,LONG,0.06045369181897353,-0.020122838209148175,60.625,59.93,-0.011463917525773248
0.005,2026-03-06,FTNT,LONG,LONG,0.08562112953058132,-0.012181353615782209,83.12,83.67,0.0066169393647737
0.005,2026-03-06,GDDY,LONG,LONG,0.07147381115258145,-0.01529019058899539,91.45,93.945,0.02728266812465807
0.005,2026-03-06,GEV,SHORT,SHORT,-0.045808338800254256,0.008997161120630315,797.92,789.41,0.010665229596952064
0.005,2026-03-06,GNRC,LONG,LONG,0.039224602613703974,-0.0170842824601366,207.12,204.015,-0.01499130938586335
0.005,2026-03-06,GPN,LONG,LONG,0.049960385082088665,-0.0207439198855508,75.295,76.395,0.014609203798392922
0.005,2026-03-06,HCA,LONG,LONG,0.03321544014727418,-0.007626526721159821,525.69,532.665,0.013268275980140132
0.005,2026-03-06,HLT,LONG,LONG,0.03664597398477687,-0.025527598077530578,292.98,298.74,0.01966004505426988
0.005,2026-03-06,HOOD,LONG,LONG,0.09841791627330432,-0.00980517815944626,77.255,77.06,-0.002524108471943509
0.005,2026-03-06,HST,LONG,LONG,0.03372252201128467,-0.029351710056151115,19.015,19.215,0.010518012095713791
0.005,2026-03-06,HUBB,SHORT,SHORT,-0.0377154648964767,0.007342143906020615,466.48,471.83,-0.011468873263591077
0.005,2026-03-06,IBM,LONG,LONG,0.09288156339902298,-0.006788919235271251,254.56,258.81,0.01669547454431175
0.005,2026-03-06,IQV,LONG,LONG,0.028150690829380487,-0.02567315456798369,174.955,174.47,-0.002772141407790696
0.005,2026-03-06,IT,LONG,LONG,0.09188123110169566,-0.010943952802359824,167.645,168.94,0.007724656267708463
0.005,2026-03-06,KEY,LONG,LONG,0.024499798234366876,-0.019726858877086473,19.38,19.85,0.02425180598555232
0.005,2026-03-06,KKR,LONG,LONG,0.12629610124907287,-0.034075029560356906,89.86,91.31,0.016136211885154683
0.005,2026-03-06,KLAC,SHORT,SHORT,-0.03502725410463803,0.01406565426934625,1393.96,1344.045,0.035808057620017764
0.005,2026-03-06,LITE,SHORT,SHORT,-0.066322308278705,0.019176159545647442,624.49,558.225,0.10611058623837048
0.005,2026-03-06,LRCX,SHORT,SHORT,-0.046675620130333106,0.010946774350491406,207.79,199.25,0.041099186678858424
0.005,2026-03-06,LYB,LONG,LONG,0.10842734654134589,-0.023961424332344383,65.785,67.14,0.020597400623242335
0.005,2026-03-06,MA,LONG,LONG,0.03574205057129065,-0.009327281818531485,515.13,522.22,0.013763516005668608
0.005,2026-03-06,MAR,LONG,LONG,0.02665372484567663,-0.021512155367275132,318.17,323.88,0.017946380865574874
0.005,2026-03-06,MET,LONG,LONG,0.0387225356525247,-0.01687763713080148,69.9,71.87,0.02818311874105861
0.005,2026-03-06,META,LONG,LONG,0.038277318310478314,-0.011562210558814456,640.31,644.8,0.007012228451843683
0.005,2026-03-06,MGM,LONG,LONG,0.05947986213801015,-0.022093344380005653,35.41,35.585,0.0049421067495059035
0.005,2026-03-06,MRVL,SHORT,SHORT,-0.05126109394666434,0.03589196872778966,87.45,89.52,-0.023670668953687742
0.005,2026-03-06,MSCI,LONG,LONG,0.0221212887606006,-0.01443841239659871,554.61,569.22,0.026342835506031337
0.005,2026-03-06,NFLX,LONG,LONG,0.046808946469584445,-0.011923328470091032,98.2,99.01,0.008248472505091753
0.005,2026-03-06,ODFL,LONG,LONG,0.02183871890456235,-0.028520410693913978,195.86,193.99,-0.009547636066578158
0.005,2026-03-06,PANW,LONG,LONG,0.09511663141464988,-0.00598655328032438,161.89,165.05,0.019519426771264614
0.005,2026-03-06,PAYX,LONG,LONG,0.0598972904954147,-0.008934953538241586,97.055,100.89,0.03951367781155013
0.005,2026-03-06,PNC,LONG,LONG,0.030445037062837965,-0.017164071163396133,203.85,206.09,0.010988471915624354
0.005,2026-03-06,PRU,LONG,LONG,0.029341168942671247,-0.015710594315245463,95.23,97.09,0.019531660191116185
0.005,2026-03-06,PSA,LONG,LONG,0.021148599745914876,-0.005582912007378038,301.91,308.18,0.020767778477029486
0.005,2026-03-06,PTC,LONG,LONG,0.05056073902857916,-0.009122076649932698,161.85,162.62,0.004757491504479461
