symbol,theme,event_return_5d,universe_return_5d,relative_return_5d,impact,positive_days,negative_days,best_day,best_day_return,worst_day,worst_day_return,max_intraday_up,max_intraday_down,avg_intraday_range
HD,Consumer,7.43116644434938e-05,0.012874782683796271,-0.012800471019352777,LIMITED / MARKET-LIKE,3,2,2026-03-03,0.008603037174465644,2026-03-05,-0.010399562123699968,0.0134267848553562,-0.016844553913519356,0.01942490642763355
NEE,Utilities,-0.00017137984435799947,0.012874782683796271,-0.01304616252815427,LIMITED / MARKET-LIKE,3,2,2026-03-03,0.01158596567930914,2026-03-05,-0.011875711729298799,0.01759755164498844,-0.024673282359958693,0.02199246958530159
DIS,Consumer,-0.0009415303348746518,0.012874782683796271,-0.013816313018670923,LIMITED / MARKET-LIKE,3,2,2026-03-03,0.00408282298046081,2026-03-05,-0.007223892174924806,0.013609409934869143,-0.014787161834577622,0.018462709954216193
PEG,Utilities,-0.0017055302915580661,0.012874782683796271,-0.014580312975354337,LIMITED / MARKET-LIKE,4,1,2026-03-05,0.006478704259148316,2026-03-02,-0.02058328984750979,0.015285936938017164,-0.023618271190504747,0.021487732195483035
JNJ,Healthcare,-0.0017805557680294903,0.012874782683796271,-0.014655338451825761,LIMITED / MARKET-LIKE,3,2,2026-03-06,0.008471022393692795,2026-03-05,-0.010815719947159907,0.013774215634942966,-0.025718295904887833,0.01958935308284069
CW,Defense,-0.002360422846990562,0.012874782683796271,-0.015235205530786833,LIMITED / MARKET-LIKE,3,2,2026-03-06,0.02017729062785434,2026-03-05,-0.036041157410039215,0.024452330682958046,-0.051418338923312934,0.03624145319984691
BLK,Financials,-0.003888042049083551,0.012874782683796271,-0.016762824732879822,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.02855987366637147,2026-03-06,-0.03746171207480253,0.035598736663713826,-0.04395050781879739,0.03190759501200038
ETN,Industrials,-0.004006395816197883,0.012874782683796271,-0.016881178499994154,LIMITED / MARKET-LIKE,3,2,2026-03-02,0.01982137790328453,2026-03-03,-0.028510510346335782,0.022098330348373718,-0.04083864089877809,0.03225789263779304
KMI,Energy,-0.004466141716426231,0.012874782683796271,-0.0173409244002225,LIMITED / MARKET-LIKE,3,2,2026-03-04,0.0062314540059345,2026-03-05,-0.014753614635585666,0.012008895478131887,-0.01942179392142329,0.021179383100187677
MU,Semiconductors,-0.005314349596369117,0.012874782683796271,-0.018189132280165388,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.027196652719665204,2026-03-06,-0.027261624929416528,0.03945008965929486,-0.046620893577567935,0.05329806201651723
EQT,Energy,-0.005450884513561571,0.012874782683796271,-0.018325667197357842,LIMITED / MARKET-LIKE,2,3,2026-03-04,0.009713533091866955,2026-03-02,-0.009405900795883881,0.017376407244248604,-0.024358871291904505,0.0265540838178163
HUBB,Industrials,-0.006365726485963785,0.012874782683796271,-0.019240509169760056,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.021338123390017838,2026-03-03,-0.023360979660440484,0.03745573119115497,-0.024801656778685954,0.030073648666036946
AAPL,Other,-0.006698711537078683,0.012874782683796271,-0.019573494220874954,LIMITED / MARKET-LIKE,2,3,2026-03-02,0.00851525888672966,2026-03-04,-0.008273829763119078,0.015373185506915021,-0.016617715257381316,0.019001385789553106
RTX,Defense,-0.007606637136988614,0.012874782683796271,-0.020481419820784885,NEGATIVE,3,2,2026-03-06,0.026088019559902254,2026-03-03,-0.026264912528881967,0.02650366748166255,-0.03890714576986731,0.03365101067334386
MCD,Consumer,-0.008037937708691323,0.012874782683796271,-0.020912720392487594,NEGATIVE,3,2,2026-03-06,0.006936771025168875,2026-03-02,-0.01662554341440492,0.007642725598526745,-0.017506755962871545,0.016502619342553083
CVX,Energy,-0.009114221760508023,0.012874782683796271,-0.021989004444304294,NEGATIVE,1,4,2026-03-05,0.018017051852646127,2026-03-03,-0.009549795361528113,0.01849965145584198,-0.017859998933731358,0.02075072498292525
CAT,Industrials,-0.009449189192272223,0.012874782683796271,-0.022323971876068494,NEGATIVE,1,4,2026-03-02,0.026283109758593826,2026-03-05,-0.02080645832466399,0.031073022284692664,-0.037354528178879964,0.03382245223735998
HWM,Defense,-0.009784271996127525,0.012874782683796271,-0.022659054679923796,NEGATIVE,3,2,2026-03-02,0.009402360106585572,2026-03-05,-0.02377080913666285,0.0168443090978303,-0.035385210994967164,0.02897762111671067
AMGN,Healthcare,-0.009785867124420089,0.012874782683796271,-0.02266064980821636,NEGATIVE,1,4,2026-03-06,0.016269442878164897,2026-03-05,-0.01727180364686376,0.01680579813788463,-0.03350088230575898,0.026514649573515837
CI,Healthcare,-0.012710464426798573,0.012874782683796271,-0.025585247110594844,NEGATIVE,3,2,2026-03-04,0.009714589611770963,2026-03-06,-0.029853944220261996,0.013437333806062712,-0.04313823518908688,0.026838736379011373
PCG,Utilities,-0.013123847355796081,0.012874782683796271,-0.025998630039592352,NEGATIVE,3,2,2026-03-03,0.007995735607675858,2026-03-05,-0.0281727931312048,0.018923240938166108,-0.035148913335122156,0.022360202281496065
ROK,Industrials,-0.013685082850116825,0.012874782683796271,-0.026559865533913096,NEGATIVE,3,2,2026-03-02,0.026442637039620465,2026-03-04,-0.041931289693453944,0.028136560090674667,-0.043256488473271015,0.03409110406915006
WMB,Energy,-0.013912504958002114,0.012874782683796271,-0.026787287641798385,NEGATIVE,1,4,2026-03-04,0.0031779661016950733,2026-03-06,-0.008878504672897303,0.00906908508935711,-0.019593709043250196,0.018579445806885753
EMR,Industrials,-0.015310221463070262,0.012874782683796271,-0.028185004146866532,NEGATIVE,1,4,2026-03-02,0.01637481620104264,2026-03-04,-0.009989430977464187,0.0197166154257451,-0.01924703176267628,0.02191579369289611
VST,Utilities,-0.017808523500988716,0.012874782683796271,-0.030683306184784986,NEGATIVE,3,2,2026-03-05,0.03170934639918643,2026-03-06,-0.03532988750380062,0.03558112908434374,-0.050636053366428735,0.050299819456078684
AMAT,Semiconductors,-0.01799498279554601,0.012874782683796271,-0.03086976547934228,NEGATIVE,2,3,2026-03-02,0.0161818926669397,2026-03-06,-0.014596989560572982,0.0349295945617869,-0.04136339681228374,0.03981130929915997
LIN,Materials,-0.019115644949904254,0.012874782683796271,-0.031990427633700524,NEGATIVE,2,3,2026-03-02,0.0029337061174663503,2026-03-05,-0.011718907579974847,0.00605430894958725,-0.01688412891881641,0.017831620415507475
FANG,Energy,-0.021095469355929986,0.012874782683796271,-0.033970252039726256,NEGATIVE,2,3,2026-03-04,0.014866261049248042,2026-03-02,-0.022348505546145092,0.017219607392951364,-0.052647396317141104,0.030780142251568776
CARR,Industrials,-0.022053269251486318,0.012874782683796271,-0.03492805193528259,NEGATIVE,1,4,2026-03-02,0.008690156422815676,2026-03-06,-0.012607886275173508,0.012640227524095549,-0.023861905567778008,0.025170686072638126
DHR,Healthcare,-0.022215938153494652,0.012874782683796271,-0.03509072083729092,NEGATIVE,2,3,2026-03-03,0.00492732200049284,2026-03-06,-0.016011864364175676,0.010612803834303186,-0.01792222808737398,0.01973602552054974
DE,Industrials,-0.024219602094064707,0.012874782683796271,-0.03709438477786098,NEGATIVE,2,3,2026-03-02,0.009059144298655841,2026-03-05,-0.02990469930989159,0.016423197166318904,-0.03652645415708189,0.023642537955329467
GE,Industrials,-0.029551959402508543,0.012874782683796271,-0.042426742086304814,NEGATIVE,2,3,2026-03-02,0.012165485741055138,2026-03-05,-0.03340230564587643,0.016367043391696257,-0.051522317469701484,0.03483197935976747
TXN,Semiconductors,-0.03190226867227208,0.012874782683796271,-0.044777051356068354,NEGATIVE,2,3,2026-03-06,0.0037926018287615104,2026-03-05,-0.014482655651221754,0.01317019950124676,-0.02961230279201721,0.02276985219240122
MRK,Healthcare,-0.03294393214901903,0.012874782683796271,-0.0458187148328153,NEGATIVE,2,3,2026-03-06,0.00809540389972141,2026-03-05,-0.027482195224130757,0.01257834261838453,-0.04055299539170498,0.025766955959217696
PEP,Consumer,-0.03440627711049438,0.012874782683796271,-0.04728105979429065,NEGATIVE,1,4,2026-03-06,0.006755476987183595,2026-03-02,-0.011030281523539243,0.007134288780857423,-0.015810039074241056,0.01804882385067379
LLY,Healthcare,-0.03516757801451942,0.012874782683796271,-0.04804236069831569,NEGATIVE,1,4,2026-03-06,0.015742782421414248,2026-03-02,-0.027369124952235313,0.01632223988513415,-0.031720481467328976,0.027743264227305442
ABT,Healthcare,-0.037321474619759765,0.012874782683796271,-0.050196257303556036,STRONG NEGATIVE,1,4,2026-03-03,0.0028701373250319406,2026-03-06,-0.015579841040462394,0.009758466905108953,-0.02131502890173409,0.016674403447993803
LMT,Defense,-0.03752941825756817,0.012874782683796271,-0.05040420094136444,STRONG NEGATIVE,1,4,2026-03-06,0.017662652427478553,2026-03-03,-0.021195508780158967,0.019071423161402867,-0.03595525181735093,0.03038669690723781
