signal_id,trading_date,symbol,trade_direction,option_type,underlying_entry_price,target_dte,moneyness_mode,target_strike,option_symbol,expiration_date,actual_dte,strike_price,contract_size,contract_found
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,30,ATM,106.42,BX260402C00106000,2026-04-02,30,106.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,30,ITM_1,105.3558,BX260402C00105000,2026-04-02,30,105.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,30,ITM_2,104.2916,BX260402C00104000,2026-04-02,30,104.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,30,OTM_1,107.4842,BX260402C00107000,2026-04-02,30,107.0,100,True
2026-03-03:BX:LONG,2026-03-03,BX,LONG,call,106.42,30,OTM_2,108.5484,BX260402C00109000,2026-04-02,30,109.0,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,7,ATM,299.02,CBOE260313P00300000,2026-03-13,10,300.0,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,7,ITM_1,302.0102,CBOE260313P00302500,2026-03-13,10,302.5,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,7,ITM_2,305.0004,CBOE260313P00305000,2026-03-13,10,305.0,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,7,OTM_1,296.02979999999997,CBOE260313P00295000,2026-03-13,10,295.0,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,7,OTM_2,293.03959999999995,CBOE260313P00292500,2026-03-13,10,292.5,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,14,ATM,299.02,CBOE260320P00300000,2026-03-20,17,300.0,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,14,ITM_1,302.0102,CBOE260320P00302500,2026-03-20,17,302.5,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,14,ITM_2,305.0004,CBOE260320P00305000,2026-03-20,17,305.0,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,14,OTM_1,296.02979999999997,CBOE260320P00295000,2026-03-20,17,295.0,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,14,OTM_2,293.03959999999995,CBOE260320P00292500,2026-03-20,17,292.5,100,True
2026-03-03:CBOE:SHORT,2026-03-03,CBOE,SHORT,put,299.02,21,ATM,299.02,CBOE260327P00300000,2026-03-27,24,300.0,100,True
