threshold,symbol,trade_direction,trades,wins,win_rate,avg_return,total_return
0.0075,AMP,LONG,2,2,1.0,0.011843256590094886,0.023686513180189772
0.0075,ESS,LONG,1,1,1.0,0.011657414750198214,0.011657414750198214
0.0075,VZ,LONG,1,1,1.0,0.011480601741884477,0.011480601741884477
0.0075,SYY,SHORT,1,1,1.0,0.011467096922899508,0.011467096922899508
0.0075,PNC,LONG,1,1,1.0,0.010988471915624354,0.010988471915624354
0.0075,COP,SHORT,1,1,1.0,0.010878767355232058,0.010878767355232058
0.0075,PYPL,LONG,1,1,1.0,0.010650887573964374,0.010650887573964374
0.0075,DOV,LONG,1,1,1.0,0.010598603639693227,0.010598603639693227
0.0075,HST,LONG,1,1,1.0,0.010518012095713791,0.010518012095713791
0.0075,TTWO,LONG,1,1,1.0,0.010320607769124246,0.010320607769124246
0.0075,CPAY,LONG,1,1,1.0,0.009957919758440292,0.009957919758440292
0.0075,AXP,LONG,1,1,1.0,0.009916939340548714,0.009916939340548714
0.0075,CSGP,LONG,1,1,1.0,0.009595327492699202,0.009595327492699202
0.0075,GPN,LONG,2,2,1.0,0.009506104100698631,0.019012208201397263
0.0075,COHR,LONG,2,1,0.5,0.00942465523618985,0.0188493104723797
0.0075,ADSK,LONG,1,1,1.0,0.008655666756829605,0.008655666756829605
0.0075,CVNA,LONG,1,1,1.0,0.008619594894913929,0.008619594894913929
0.0075,NFLX,LONG,1,1,1.0,0.008248472505091753,0.008248472505091753
0.0075,BEN,LONG,2,2,1.0,0.008183425868865224,0.016366851737730448
0.0075,IT,LONG,1,1,1.0,0.007724656267708463,0.007724656267708463
0.0075,CCI,LONG,1,1,1.0,0.007599463567277587,0.007599463567277587
0.0075,AJG,SHORT,1,1,1.0,0.007396970764353676,0.007396970764353676
0.0075,JPM,LONG,1,1,1.0,0.007302217585893445,0.007302217585893445
0.0075,META,LONG,1,1,1.0,0.007012228451843683,0.007012228451843683
0.0075,TAP,SHORT,1,1,1.0,0.0066434672571970416,0.0066434672571970416
0.0075,FTNT,LONG,1,1,1.0,0.0066169393647737,0.0066169393647737
0.0075,ELV,SHORT,2,1,0.5,0.006489370111773397,0.012978740223546795
0.0075,KEYS,LONG,1,1,1.0,0.0062893081761006275,0.0062893081761006275
0.0075,SMCI,LONG,1,1,1.0,0.005903574942604184,0.005903574942604184
0.0075,PWR,LONG,1,1,1.0,0.005821978410900597,0.005821978410900597
0.0075,SOLV,SHORT,1,1,1.0,0.005551261330897281,0.005551261330897281
0.0075,PTC,LONG,2,2,1.0,0.005416900034957761,0.010833800069915522
0.0075,TSLA,LONG,1,1,1.0,0.005081404874052842,0.005081404874052842
0.0075,EQT,SHORT,1,1,1.0,0.005001613423684982,0.005001613423684982
0.0075,MGM,LONG,1,1,1.0,0.0049421067495059035,0.0049421067495059035
0.0075,CF,SHORT,2,1,0.5,0.004320299342913727,0.008640598685827453
0.0075,NOC,LONG,1,1,1.0,0.003522802379378742,0.003522802379378742
0.0075,DOW,LONG,1,1,1.0,0.0033172496984319455,0.0033172496984319455
0.0075,EXE,SHORT,1,1,1.0,0.003316982013548273,0.003316982013548273
0.0075,GRMN,LONG,2,1,0.5,0.0028940761577683216,0.005788152315536643
0.0075,ETN,SHORT,1,1,1.0,0.002699814387760784,0.002699814387760784
0.0075,FLEX,LONG,3,2,0.6666666666666666,0.0026526042456979093,0.007957812737093728
0.0075,WDC,SHORT,1,1,1.0,0.0025983951089033506,0.0025983951089033506
0.0075,CMG,LONG,1,1,1.0,0.002553191489361728,0.002553191489361728
0.0075,VTRS,LONG,1,1,1.0,0.001680672268907557,0.001680672268907557
0.0075,RJF,LONG,1,1,1.0,0.0005592841163311046,0.0005592841163311046
0.0075,VLTO,SHORT,1,1,1.0,0.00041994750656174545,0.00041994750656174545
0.0075,RL,LONG,1,0,0.0,-0.0009437104474296909,-0.0009437104474296909
0.0075,J,LONG,1,0,0.0,-0.0017972417840376176,-0.0017972417840376176
0.0075,TMO,LONG,1,0,0.0,-0.0024630541871921707,-0.0024630541871921707
0.0075,HOOD,LONG,1,0,0.0,-0.002524108471943509,-0.002524108471943509
0.0075,IQV,LONG,1,0,0.0,-0.002772141407790696,-0.002772141407790696
0.0075,CHRW,LONG,1,0,0.0,-0.002783686546390385,-0.002783686546390385
0.0075,TFC,LONG,1,0,0.0,-0.003045066991473777,-0.003045066991473777
0.0075,APA,SHORT,1,0,0.0,-0.003098853424232857,-0.003098853424232857
0.0075,NTRS,LONG,1,0,0.0,-0.0034027777777778656,-0.0034027777777778656
0.0075,RVTY,LONG,1,0,0.0,-0.004141689373296953,-0.004141689373296953
0.0075,GNRC,LONG,2,1,0.5,-0.004443819036559216,-0.008887638073118431
0.0075,IBKR,LONG,1,0,0.0,-0.005251798561150989,-0.005251798561150989
0.0075,IVZ,LONG,1,0,0.0,-0.005318101240890383,-0.005318101240890383
0.0075,BLK,LONG,2,1,0.5,-0.006819653168865458,-0.013639306337730916
0.0075,CBOE,SHORT,1,0,0.0,-0.006994861594563281,-0.006994861594563281
0.0075,LDOS,LONG,1,0,0.0,-0.007496420248757629,-0.007496420248757629
0.0075,PKG,LONG,1,0,0.0,-0.007552472117326792,-0.007552472117326792
