bias_threshold,reversal_threshold,entry_mode,trading_date,symbol,event_bias,trade_direction,prior_relative_return,opening_return_10m,entry_price,exit_price,trade_return,result
0.025,0.0025,threshold_only,2026-03-05,COP,SHORT,SHORT,-0.04845270875131147,0.010296065279617128,118.24,116.835,0.011882611637347778,WIN
0.025,0.0025,threshold_only,2026-03-05,CVNA,SHORT,SHORT,-0.02799337839616567,0.028990591612183092,322.64,331.08,-0.02615918670964542,LOSS
0.025,0.0025,threshold_only,2026-03-05,CVX,SHORT,SHORT,-0.03931494074638864,0.010241836023379358,188.4,189.85,-0.007696390658174037,LOSS
0.025,0.0025,threshold_only,2026-03-05,DECK,SHORT,SHORT,-0.02673287701519178,0.008479262672811183,109.42,107.44,0.018095412173277318,WIN
0.025,0.0025,threshold_only,2026-03-05,DLTR,SHORT,SHORT,-0.05905249325910067,0.003434950622584809,116.85,115.89,0.008215661103979408,WIN
0.025,0.0025,threshold_only,2026-03-05,DVN,SHORT,SHORT,-0.05513141321935666,0.003395201448619156,44.33,44.505,-0.003947665237987915,LOSS
0.025,0.0025,threshold_only,2026-03-05,ELV,SHORT,SHORT,-0.07898413945758709,0.016214158403848433,293.63,286.37,0.024724994040118485,WIN
0.025,0.0025,threshold_only,2026-03-05,ETN,SHORT,SHORT,-0.03695551503213679,0.009855097267385649,354.035,354.62,-0.001652379002076008,LOSS
0.025,0.0025,threshold_only,2026-03-05,EXE,SHORT,SHORT,-0.05743870736286438,0.0029830957905203626,105.91,106.67,-0.007175904069493014,LOSS
0.025,0.0025,threshold_only,2026-03-05,FIX,LONG,LONG,0.04354911015173846,-0.00963912697962177,1395.775,1346.21,-0.03551073776217517,LOSS
0.025,0.0025,threshold_only,2026-03-05,GEV,SHORT,SHORT,-0.03206747706440438,0.0072866984631692056,836.33,815.2,0.025265146533067086,WIN
0.025,0.0025,threshold_only,2026-03-05,GLW,SHORT,SHORT,-0.05715163562429726,0.022655388010297983,139.03,134.7,0.03114435733294981,WIN
0.025,0.0025,threshold_only,2026-03-05,HUBB,SHORT,SHORT,-0.027159014086700295,0.0027188801935265072,484.97,476.47,0.01752685733138132,WIN
0.025,0.0025,threshold_only,2026-03-05,HUM,SHORT,SHORT,-0.033527720096429015,0.00554054799051773,182.395,180.63,0.009676800350886892,WIN
0.025,0.0025,threshold_only,2026-03-05,L,LONG,LONG,0.029660351999942325,-0.005070626584570803,109.88,109.95,0.000637058609392227,WIN
0.025,0.0025,threshold_only,2026-03-05,LEN,SHORT,SHORT,-0.026132042211379214,0.00834597875569032,106.32,104.2,0.019939804364183508,WIN
0.025,0.0025,threshold_only,2026-03-05,LH,SHORT,SHORT,-0.025416766693343806,0.003292329956584794,277.31,276.01,0.004687894414193543,WIN
0.025,0.0025,threshold_only,2026-03-05,LITE,SHORT,SHORT,-0.08725645188429887,0.024493784692361853,655.215,651.095,0.0062880123318300165,WIN
0.025,0.0025,threshold_only,2026-03-05,LRCX,SHORT,SHORT,-0.03367982503578992,0.004301468905871131,219.47,214.72,0.021643049163894836,WIN
0.025,0.0025,threshold_only,2026-03-05,MAS,SHORT,SHORT,-0.04751349092401436,0.009090237233020382,68.27,65.3,0.04350373516918118,WIN
0.025,0.0025,threshold_only,2026-03-05,MCHP,SHORT,SHORT,-0.039840325572871316,0.010942028985507113,69.755,67.85,0.02730987026019642,WIN
0.025,0.0025,threshold_only,2026-03-05,MOS,SHORT,SHORT,-0.088164954588837,0.021235521235521304,26.45,26.285,0.0062381852551984555,WIN
0.025,0.0025,threshold_only,2026-03-05,NCLH,SHORT,SHORT,-0.04700407336035628,0.018173122907699568,21.29,20.925,0.017144199154532573,WIN
