target_dte,moneyness_mode,slippage_per_side,executed_trades,coverage,win_rate,avg_option_return,median_option_return,profit_factor,portfolio_return,max_drawdown,avg_entry_premium,avg_contract_cost,positive_days,trading_days,rank_score
7,OTM_1,0.01,113,0.4538152610441767,0.5575221238938053,0.09542713304438917,0.025577557755775526,2.1477610570040215,0.4498196425937797,-0.01831529471455806,6.67896017699115,667.8960176991151,3,4,0.5413223982279205
7,ITM_1,0.01,100,0.40160642570281124,0.57,0.09436731848284863,0.03161970984120144,2.4707030444356173,0.46243423785848137,0.0,9.195141,919.5141,4,4,0.5337251566680955
7,OTM_2,0.01,108,0.43373493975903615,0.5925925925925926,0.09224323686717018,0.04459437097962404,2.130711115621156,0.4420948603440682,-0.010237979275582565,6.369452777777779,636.9452777777778,3,4,0.5196703262587642
7,ATM,0.01,108,0.43373493975903615,0.6018518518518519,0.08975709089013223,0.058739527798933766,2.2160425745418477,0.4520575978992212,-0.04124526079004209,6.8253555555555545,682.5355555555556,3,4,0.5182266197146624
14,OTM_1,0.01,175,0.7028112449799196,0.5428571428571428,0.05460238695004272,0.029207920792079234,1.8306588023319434,0.2987066486181871,0.0,8.063782285714284,806.3782285714286,4,4,0.5045013341397437
14,ITM_1,0.01,148,0.5943775100401606,0.5540540540540541,0.05636881348236929,0.013902896500830209,2.023898542201749,0.2914510602906506,-0.023106286179587543,10.82699527027027,1082.699527027027,3,4,0.4467373265246952
14,ITM_2,0.01,120,0.4819277108433735,0.5583333333333333,0.06446372599262627,0.03205537528099478,2.258491386042845,0.295422274896296,0.0,9.654505833333333,965.4505833333334,4,4,0.4291409133310179
14,OTM_2,0.01,181,0.7269076305220884,0.5082872928176796,0.04761011548033597,0.00764356435643565,1.685458067184382,0.21848973588141174,0.0,7.090925414364641,709.0925414364641,4,4,0.3988824738671236
21,ITM_2,0.0,37,0.14859437751004015,0.7027027027027027,0.10698810180295136,0.0931372549019609,4.498089556355172,0.3392685141486498,-0.0002149758801979207,11.123513513513513,1112.3513513513512,3,4,0.30559418802800703
21,ITM_1,0.0,49,0.19678714859437751,0.6326530612244898,0.08969367080826435,0.049056603773584895,3.5194257650557423,0.37765798922210214,0.0,12.847142857142856,1284.7142857142858,4,4,0.2751021561168366
7,ITM_2,0.0,88,0.3534136546184739,0.5,0.07121298304335814,0.004065040650406471,2.2371695569857213,0.38076693827665253,-0.0015874117527467924,10.435795454545454,1043.5795454545455,3,4,0.26367192333274053
21,ATM,0.0,57,0.2289156626506024,0.6491228070175439,0.07626000236373466,0.0625,3.142168158401747,0.3455588244810097,-0.046001576698928015,10.460877192982457,1046.0877192982457,3,4,0.25700034324129134
7,OTM_1,0.025,113,0.4538152610441767,0.49557522123893805,0.06304199976887147,-0.004742547425474308,1.6649548479186003,0.28582450254189595,-0.047337754589959036,6.778152654867257,677.8152654867255,3,4,0.23959270111721992
21,OTM_1,0.0,62,0.24899598393574296,0.5806451612903226,0.07345751041228299,0.02734541577825156,2.8198191212768355,0.33849116294116066,-0.0015753566971307142,6.35758064516129,635.758064516129,3,4,0.23543597504580438
7,OTM_2,0.025,108,0.43373493975903615,0.5277777777777778,0.059952232081740234,0.013712054025311504,1.6532900304028268,0.27897350259564835,-0.0394992363553881,6.464048611111111,646.4048611111111,3,4,0.22683894331463622
7,ATM,0.025,108,0.43373493975903615,0.5555555555555556,0.057539586355316884,0.027439024390244038,1.6817588675231177,0.28780931339890925,-0.06958982070755726,6.926722222222223,692.6722222222221,3,4,0.22655673732197723
7,ITM_1,0.025,100,0.40160642570281124,0.5,0.06201351749296407,0.0011209748865466107,1.818042846473961,0.2970122083809372,-0.024175207948653576,9.3317025,933.1702499999999,3,4,0.22104814693415642
14,ATM,0.025,170,0.6827309236947792,0.5058823529411764,0.03147440354588407,0.004436067734299942,1.4733124541259144,0.18148736152986844,-0.013632000269811262,9.585438235294117,958.5438235294115,3,4,0.20601347174158743
21,ITM_2,0.01,37,0.14859437751004015,0.6216216216216216,0.08506754533160577,0.07149097262667459,3.3104952539484676,0.2362973606163803,-0.02001269913009507,11.23474864864865,1123.4748648648647,3,4,0.15512458869341908
21,ITM_1,0.01,49,0.19678714859437751,0.5714285714285714,0.06811557831701158,0.02828320567905851,2.5938464316031604,0.2717352180791366,-0.0025030445764577802,12.975614285714286,1297.5614285714287,3,4,0.13872723565689513
14,OTM_1,0.025,175,0.7028112449799196,0.49714285714285716,0.023424193692096234,-0.0012195121951218413,1.3005803930285154,0.15180452888595575,-0.026785395909541987,8.183541428571427,818.3541428571428,3,4,0.13713903837949085
14,ITM_2,0.025,120,0.4819277108433735,0.5083333333333333,0.032993992777766754,0.0015437603429019342,1.5175790089230135,0.14889166435919532,-0.025673789970484417,9.797889583333331,979.7889583333332,3,4,0.13100806707718785
