symbol,trade_direction,trades,wins,win_rate,avg_return,median_return,total_return,best_trade,worst_trade,avg_prior_relative,avg_opening_10m,score
TXN,SHORT,1,1,1.0,0.01731923973996318,0.01731923973996318,0.01731923973996318,0.01731923973996318,0.01731923973996318,-0.03845940195975872,0.002886577415020186,0.01731923973996318
NCLH,SHORT,1,1,1.0,0.017144199154532573,0.017144199154532573,0.017144199154532573,0.017144199154532573,0.017144199154532573,-0.04700407336035628,0.018173122907699568,0.017144199154532573
ULTA,SHORT,1,1,1.0,0.016443283840428587,0.016443283840428587,0.016443283840428587,0.016443283840428587,0.016443283840428587,-0.030238350314448992,0.0056076888148932635,0.016443283840428587
MAR,LONG,1,1,1.0,0.016221643500360816,0.016221643500360816,0.016221643500360816,0.016221643500360816,0.016221643500360816,0.02665372484567663,-0.01985146002798588,0.016221643500360816
WDAY,LONG,2,1,0.5,0.015941292792714445,0.015941292792714445,0.03188258558542889,0.03515625000000022,-0.003273664414571331,0.08633677219523983,-0.007339105194675233,0.015941292792714445
STLD,LONG,2,1,0.5,0.015812232298554052,0.015812232298554052,0.031624464597108104,0.03660137583363965,-0.004976911236531545,0.0386777853363095,-0.027016109984207004,0.015812232298554052
HCA,LONG,1,1,1.0,0.01486096424794936,0.01486096424794936,0.01486096424794936,0.01486096424794936,0.01486096424794936,0.03321544014727418,-0.009183923885753176,0.01486096424794936
HAL,SHORT,1,1,1.0,0.014675052410901428,0.014675052410901428,0.014675052410901428,0.014675052410901428,0.014675052410901428,-0.030890220057747664,0.0037878787878786735,0.014675052410901428
HLT,LONG,1,1,1.0,0.014569536423841178,0.014569536423841178,0.014569536423841178,0.014569536423841178,0.014569536423841178,0.03664597398477687,-0.02063827310372346,0.014569536423841178
NTAP,LONG,1,1,1.0,0.014095811387007773,0.014095811387007773,0.014095811387007773,0.014095811387007773,0.014095811387007773,0.059389119802681245,-0.003449310137972339,0.014095811387007773
NRG,SHORT,2,2,1.0,0.007010272086921187,0.007010272086921187,0.014020544173842374,0.011703471003110694,0.0023170731707316795,-0.03092718261628602,0.006470349320885971,0.014020544173842374
ON,SHORT,1,1,1.0,0.01321764515082708,0.01321764515082708,0.01321764515082708,0.01321764515082708,0.01321764515082708,-0.030046032151794466,0.007598660021243431,0.01321764515082708
BKNG,LONG,1,1,1.0,0.012848923360343933,0.012848923360343933,0.012848923360343933,0.012848923360343933,0.012848923360343933,0.08278196963384654,-0.005192563081009349,0.012848923360343933
ESS,LONG,1,1,1.0,0.01242014205785491,0.01242014205785491,0.01242014205785491,0.01242014205785491,0.01242014205785491,0.03503746031431887,-0.011143810084363381,0.01242014205785491
STX,SHORT,3,2,0.6666666666666666,0.006143048023091613,0.013167701863353988,0.018429144069274837,0.01832177364390801,-0.01306033143798716,-0.0538684180425005,0.004954606604802292,0.012286096046183224
AOS,SHORT,1,1,1.0,0.012069674941708894,0.012069674941708894,0.012069674941708894,0.012069674941708894,0.012069674941708894,-0.042283182968195776,0.004131662305467465,0.012069674941708894
OXY,SHORT,3,2,0.6666666666666666,0.0059844584034629555,0.007782457425379915,0.017953375210388867,0.020062580526412598,-0.009891662741403648,-0.06334158947945923,0.009107111357168426,0.011968916806925911
COP,SHORT,1,1,1.0,0.011882611637347778,0.011882611637347778,0.011882611637347778,0.011882611637347778,0.011882611637347778,-0.04845270875131147,0.010296065279617128,0.011882611637347778
KEY,LONG,1,1,1.0,0.011735941320293541,0.011735941320293541,0.011735941320293541,0.011735941320293541,0.011735941320293541,0.02593251675903252,-0.008003880669415486,0.011735941320293541
